Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Aconcagua|the highest mountain in the western hemisphere; located in the Andes in western Argentina (22,834 feet high)
Adams|a mountain peak in southwestern Washington in the Cascade Range (12,307 feet high)
Adam's Peak|a mountain peak in south central Sri Lanka (7,360 feet high)
Adige|a river in northern Italy that flows southeast into the Adriatic Sea; "Verona is on the Adige"
Adirondacks|a mountain range in northeastern New York State; a popular resort area
Admiralty Range|mountains in Antarctica to the north of Victoria Land
Adriatic|an arm of the Mediterranean between Slovenia and Croatia and Montenegro and Albania on the east and Italy on the west
Aegean|an arm of the Mediterranean between Greece and Turkey; a main trade route for the ancient civilizations of Crete and Greece and Rome and Persia
Aegospotami|a creek emptying into the Hellespont in present-day Turkey; at its mouth in 405 BC the Spartan fleet under Lysander defeated the Athenians and ended the Peloponnesian War
Africa|the second largest continent; located to the south of Europe and bordered to the west by the South Atlantic and to the east by the Indian Ocean
Aire|a river in northern England that flows southeast through West Yorkshire
Alabama|a river in Alabama formed by the confluence of the Coosa and Tallapoosa Rivers near Montgomery; flows southwestward to become a tributary of the Mobile River
Alaska Peninsula|a peninsula of southwestern Alaska (a continuation of the Aleutian Islands)
Alaska Range|a mountain range in south central Alaska; contains Mount McKinley
Aldebaran|the brightest star in Taurus
Algol|the second brightest star in Perseus; the first known eclipsing binary
Alleghenies|the western part of the Appalachian Mountains; extending from northern Pennsylvania to southwestern Virginia
Allegheny|a river that rises in Pennsylvania and flows north into New York and then back south through Pennsylvania again to join the Monongahela River at Pittsburgh which is the beginning of the Ohio River
Alpha Centauri|brightest star in Centaurus; second nearest star to the sun
Alpha Crucis|the brightest star in the Southern Cross
Alpine glacier|a glacier that moves down from a high valley
Alps|a large mountain system in south-central Europe; scenic beauty and winter sports make them a popular tourist attraction
Altai Mountains|a mountain range in central Asia that extends a thousand miles from Kazakhstan eastward into western Mongolia and northern China
Altair|double star 15.7 light years from Earth; the brightest star in the Aquila constellation
Amazon|a major South American river; arises in the Andes and flows eastward into the South Atlantic; the world's 2nd longest river (4000 miles)
America|North America and South America and Central America
American Falls|a part of Niagara Falls in western New York (north of Buffalo)
Amur|an Asian river between China and Russia; flows into the Sea of Okhotsk
Ancohuma|a mountain peak in the Andes in Bolivia (20,960 feet high)
Andaman Sea|part of the Bay of Bengal to the west of the Malay Peninsula
Andes|a mountain range in South America running 5000 miles along the Pacific coast
Andromeda|a constellation in the northern hemisphere between Cassiopeia and Pegasus; contains the Andromeda galaxy
Angara|a river in southeastern Siberia that flows northwest from Lake Baikal to become a tributary of the Yenisei River
Angel|the highest waterfall; has more than one leap; flow varies seasonally
Annapurna|a mountain in the Himalayas in Nepal (26,500 feet high)
Antarctica|an extremely cold continent at the south pole almost entirely below the Antarctic Circle; covered by an ice cap up to 13,000 feet deep; "Antarctica is twice the size of Australia"
Antarctic Ocean|the southern waters surrounding Antarctica
Antarctic Peninsula|a large peninsula of Antarctica that extends some 1200 miles north toward South America; separates the Weddell Sea from the South Pacific
Antares|the brightest star in Scorpius
Antlia|a faint constellation in the southern hemisphere near Hydra and Vela
